Course,UCAS,25 Above,Disability,Ethnicity,Gender,British,English native Language,Parent He attendance,Polar 4 Score,SLC,Care Leaver,Student Visa,Refugee,London Permanent Residence,UCAS Points,English,Maths,A Levels,Btec,Previous work,Bursary,Attendance,AWM year 1,AWM year 2,AWM year 3,Overall AWM,Progress,First Sit,Second Sit,Fails,No Submissions,Late Submission,Pass,Re Takes,desertion
ba,yes,no,no,White,Female,no,no,yes,5.0,yes,,no,no,no,107.0,6.0,7.0,no,yes,yes,no,51,64,38.0,,51.0,no,6,0.0,2,0,1,33.333333333333336,no,yes
ba,yes,no,no,White,Male,yes,yes,no,3.0,yes,,no,no,no,103.0,5.0,6.0,no,yes,yes,,89,67,58.0,60.0,61.666666666666664,yes,4,2.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,4.0,yes,,no,no,no,100.0,5.0,4.0,yes,no,yes,no,66,73,77.0,42.0,64.0,yes,5,1.0,0,0,0,100.0,yes,no
ba,yes,no,no,Other ethnic background,Female,no,no,yes,3.0,yes,no,no,no,no,113.0,3.0,6.0,no,yes,no,no,74,45,77.0,49.0,57.0,yes,5,1.0,0,3,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,yes,2.0,yes,no,no,no,yes,118.0,5.0,5.0,yes,no,yes,yes,84,81,69.0,76.0,75.33333333333333,yes,5,1.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,no,5.0,yes,no,no,no,no,102.0,4.0,4.0,yes,no,yes,,87,77,85.0,66.0,76.0,yes,5,1.0,0,2,2,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,yes,5.0,yes,no,no,no,yes,108.0,4.0,4.0,no,yes,yes,no,85,72,62.0,44.0,59.333333333333336,yes,4,2.0,0,1,1,100.0,yes,no
ba,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,109.0,4.0,4.0,yes,no,yes,no,90,48,42.0,45.0,45.0,yes,4,2.0,0,1,1,100.0,no,no
ba,yes,no,no,White,Male,no,yes,yes,1.0,yes,,no,no,yes,155.0,5.0,5.0,yes,no,yes,,97,48,59.0,63.0,56.666666666666664,yes,3,3.0,0,1,2,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,,no,,no,no,no,104.0,6.0,5.0,yes,no,yes,no,63,54,45.0,50.0,49.666666666666664,yes,4,2.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,4.0,yes,,no,no,no,101.0,6.0,6.0,no,yes,no,no,85,78,74.0,43.0,65.0,yes,3,3.0,0,2,0,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,,no,,yes,no,no,104.0,8.0,4.0,no,no,no,no,92,43,60.0,51.0,51.333333333333336,yes,4,2.0,0,1,0,100.0,no,no
ba,yes,no,no,Black/Black British African,Female,no,no,yes,3.0,yes,,no,no,no,104.0,,,no,no,yes,no,71,42,79.0,66.0,62.333333333333336,yes,5,1.0,0,1,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,,3.0,no,,no,no,yes,100.0,6.0,5.0,yes,no,yes,,81,41,55.0,67.0,54.333333333333336,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Male,,yes,,3.0,yes,,no,no,yes,101.0,5.0,4.0,no,yes,no,,76,76,82.0,52.0,70.0,yes,3,3.0,0,1,0,100.0,no,no
ba,yes,no,no,White,Male,,yes,no,4.0,yes,,no,no,yes,104.0,7.0,5.0,no,yes,yes,,94,66,63.0,40.0,56.333333333333336,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,,no,no,yes,no,no,107.0,5.0,5.0,yes,no,no,,76,68,46.0,46.0,53.333333333333336,yes,3,3.0,0,2,1,100.0,no,no
ba,yes,no,no,Asian,Female,,yes,yes,3.0,no,no,no,no,yes,109.0,4.0,4.0,yes,no,yes,,74,75,69.0,39.0,61.0,no,3,3.0,5,2,2,83.33333333333333,yes,no
ba,yes,no,no,White,Male,,yes,no,4.0,yes,no,no,no,yes,100.0,5.0,4.0,yes,no,yes,,63,75,67.0,82.0,74.66666666666667,yes,5,1.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,4.0,yes,no,no,no,yes,106.0,4.0,4.0,yes,,no,,77,72,63.0,67.0,67.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,5.0,yes,no,no,no,no,103.0,5.0,5.0,yes,,no,,66,58,48.0,34.0,46.666666666666664,no,5,1.0,3,1,1,50.0,no,no
ba,yes,no,no,Asian,Female,yes,yes,yes,3.0,yes,no,no,no,no,108.0,7.0,6.0,yes,,no,,91,71,71.0,52.0,64.66666666666667,yes,6,0.0,0,1,1,100.0,no,no
ba,yes,no,no,Other ethnic background,Male,no,no,yes,2.0,yes,no,no,no,no,96.0,5.0,6.0,no,yes,no,yes,77,42,44.0,43.0,43.0,yes,5,1.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Female,yes,no,yes,5.0,yes,no,no,no,yes,99.0,7.0,5.0,yes,,yes,,87,63,56.0,82.0,67.0,yes,3,3.0,0,2,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,yes,5.0,yes,no,no,no,no,125.0,8.0,9.0,yes,no,yes,,91,82,77.0,50.0,69.66666666666667,yes,5,1.0,0,3,0,100.0,yes,no
ba,yes,no,no,White,Female,yes,yes,no,1.0,yes,no,no,no,no,102.0,4.0,4.0,yes,no,yes,yes,88,74,76.0,51.0,67.0,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,4.0,yes,no,no,no,yes,104.0,8.0,4.0,no,no,yes,,84,61,50.0,44.0,51.666666666666664,yes,3,3.0,0,1,0,100.0,no,no
ba,yes,no,no,White,Female,yes,no,no,4.0,yes,no,no,no,yes,117.0,7.0,5.0,yes,no,yes,,95,74,41.0,75.0,63.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,Black/Black British African,Male,no,no,no,,no,,yes,no,no,111.0,6.0,7.0,no,no,no,,61,56,80.0,43.0,59.666666666666664,yes,5,1.0,0,5,1,100.0,yes,no
ba,yes,no,no,White,Male,yes,yes,no,4.0,yes,no,no,no,yes,98.0,4.0,4.0,no,yes,no,,62,80,66.0,59.0,68.33333333333333,yes,3,3.0,0,4,2,100.0,yes,no
ba,yes,no,no,White,Male,no,no,no,4.0,yes,no,no,no,yes,105.0,4.0,3.0,no,yes,no,,81,45,40.0,82.0,55.666666666666664,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Other ethnic background,Female,yes,yes,no,3.0,yes,no,no,no,yes,109.0,8.0,4.0,no,yes,yes,,67,82,58.0,56.0,65.33333333333333,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,Black/Black British African,Female,yes,yes,no,1.0,yes,no,no,no,no,102.0,7.0,4.0,yes,no,yes,yes,66,62,73.0,44.0,59.666666666666664,yes,3,3.0,0,5,3,100.0,yes,no
ba,yes,no,no,White,Female,no,no,no,4.0,yes,no,no,no,no,105.0,6.0,6.0,yes,no,no,,94,76,64.0,57.0,65.66666666666667,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,yes,White,Male,no,no,yes,3.0,yes,no,no,,yes,120.0,4.0,6.0,yes,no,yes,yes,44,47,33.0,,40.0,no,2,4.0,4,2,2,66.66666666666667,no,yes
ba,yes,no,no,Asian,Female,yes,yes,yes,4.0,yes,no,no,no,yes,119.0,6.0,5.0,yes,no,no,,99,66,67.0,56.0,63.0,yes,3,3.0,0,3,0,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,no,2.0,yes,no,,,no,106.0,5.0,5.0,yes,no,,yes,67,63,87.0,42.0,63.333333333333336,yes,3,3.0,0,1,0,100.0,no,no
ba,yes,no,no,Asian,Female,yes,no,no,3.0,yes,no,no,no,no,109.0,5.0,4.0,,yes,no,,92,83,67.0,55.0,68.33333333333333,yes,6,0.0,0,1,0,100.0,no,no
ba,yes,no,yes,Black/Black British African,Female,yes,yes,no,2.0,yes,no,no,no,no,107.0,5.0,6.0,yes,no,yes,yes,90,82,45.0,79.0,68.66666666666667,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,yes,no,no,3.0,yes,no,no,no,yes,118.0,4.0,6.0,yes,no,no,,95,42,85.0,77.0,68.0,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,no,1.0,yes,,no,no,yes,98.0,7.0,7.0,yes,no,no,yes,99,69,58.0,45.0,57.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,yes,5.0,yes,,no,no,yes,112.0,7.0,5.0,yes,no,no,,82,67,68.0,71.0,68.66666666666667,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Female,no,yes,yes,3.0,no,,yes,no,yes,96.0,4.0,,yes,no,yes,,68,71,61.0,50.0,60.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,yes,White,Female,no,yes,yes,3.0,no,,no,no,no,96.0,4.0,,yes,no,yes,yes,73,85,62.0,53.0,66.66666666666667,yes,3,3.0,0,0,1,100.0,no,no
ba,yes,no,yes,White,Female,no,yes,yes,4.0,no,,yes,no,no,104.0,4.0,4.0,yes,no,yes,yes,61,79,44.0,52.0,58.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,5.0,yes,,no,no,yes,107.0,4.0,4.0,no,yes,yes,,90,80,70.0,73.0,74.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
BA Business Manangement Enterpreneurship and Innovation,no,no,no,Asian,Male,yes,no,no,2.0,yes,,no,no,yes,113.0,,,yes,no,yes,yes,65,45,55.0,41.0,47.0,yes,6,0.0,0,1,1,100.0,no,no
BA Business Management,no,no,no,White,Male,no,no,no,4.0,no,no,no,no,yes,117.0,5.0,6.0,yes,no,yes,,42,66,35.0,,50.5,no,2,4.0,2,2,0,33.333333333333336,no,yes
BA Business Management Enterpreneurship and Innovation,no,no,no,Asian,Male,yes,yes,yes,4.0,no,no,no,no,yes,88.0,5.0,4.0,yes,yes,yes,,55,45,38.0,,41.5,no,6,0.0,2,0,0,33.333333333333336,no,yes
BA Business Management,no,yes,no,White,Female,no,no,yes,3.0,yes,no,no,no,yes,114.0,5.0,5.0,no,no,yes,,70,49,40.0,,44.5,yes,2,4.0,0,2,2,100.0,no,yes
BA Business Management Enterpreneurship and Innovation,no,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,108.0,4.0,6.0,no,no,yes,,89,84,43.0,41.0,56.0,yes,3,3.0,0,0,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,130.0,6.0,5.0,yes,no,yes,,74,47,53.0,52.0,50.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management (Marketing),yes,no,no,White,Male,yes,yes,yes,3.0,yes,no,no,no,yes,112.0,6.0,4.0,no,yes,no,no,94,46,81.0,48.0,58.333333333333336,yes,6,0.0,0,0,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,no,yes,no,5.0,no,no,yes,no,no,89.0,6.0,5.0,yes,no,no,no,80,44,82.0,46.0,57.333333333333336,yes,4,2.0,0,0,0,100.0,yes,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,no,4.0,yes,no,no,no,yes,103.0,4.0,5.0,yes,no,no,no,79,55,85.0,56.0,65.33333333333333,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,White,Female,yes,yes,no,2.0,no,no,no,no,yes,128.0,4.0,4.0,no,yes,no,yes,77,77,84.0,82.0,81.0,yes,4,2.0,0,2,2,100.0,no,no
Ba Business Management Finance,yes,no,no,White,Female,yes,yes,no,,no,no,no,no,no,91.0,,,no,no,no,no,77,68,76.0,72.0,72.0,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management,yes,yes,no,Black/Black British African,Female,yes,yes,yes,4.0,no,no,no,no,yes,128.0,4.0,5.0,no,yes,no,no,88,80,75.0,45.0,66.66666666666667,yes,3,3.0,0,2,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,yes,5.0,yes,no,no,no,no,82.0,3.0,3.0,no,yes,no,no,47,43,58.0,77.0,59.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management Marketing,yes,no,no,White,Female,yes,yes,no,4.0,yes,no,no,no,yes,84.0,4.0,4.0,yes,no,no,no,77,65,71.0,47.0,61.0,yes,5,1.0,0,0,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,yes,,no,no,no,no,no,127.0,,5.0,no,,no,no,99,59,64.0,43.0,55.333333333333336,yes,3,3.0,0,1,2,100.0,no,no
BA Business Management International Business,yes,no,no,White,Female,no,yes,yes,,no,no,yes,no,no,120.0,4.0,4.0,yes,,no,no,76,70,51.0,45.0,55.333333333333336,yes,5,1.0,0,1,1,100.0,no,no
Ba Business Management Finance,yes,yes,no,White,Male,yes,yes,yes,4.0,yes,no,no,no,no,96.0,4.0,5.0,no,yes,no,no,44,34,,,34.0,no,4,2.0,3,1,1,50.0,no,yes
BA Business Management,yes,no,no,White,Male,yes,,yes,1.0,yes,,no,no,no,82.0,,,no,no,yes,no,80,48,46.0,44.0,46.0,yes,2,4.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,Asian,Female,yes,,no,2.0,yes,no,no,no,no,117.0,4.0,5.0,no,yes,yes,yes,48,62,39.0,,50.5,no,4,2.0,3,1,0,50.0,no,yes
BA Business Management International Business,yes,no,no,Asian,Male,yes,,no,3.0,no,no,no,no,no,153.0,9.0,8.0,no,,yes,no,70,53,55.0,,54.0,yes,2,4.0,0,1,0,100.0,no,yes
BA Business Management International Business,yes,no,no,Black/Black British African,Male,no,,no,3.0,no,,yes,no,no,,,,yes,no,yes,no,75,56,,,56.0,yes,4,2.0,0,0,0,100.0,no,yes
Ba Business Management Finance,yes,yes,yes,Black/Black British African,Female,yes,,yes,2.0,yes,no,no,no,no,93.0,8.0,5.0,yes,,yes,yes,76,46,70.0,76.0,64.0,yes,3,3.0,0,2,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,White,Female,yes,,no,4.0,no,no,no,no,no,116.0,,,yes,no,yes,,85,54,40.0,84.0,59.333333333333336,yes,4,2.0,0,2,2,100.0,no,no
BA Business Management International Business,yes,no,no,Asian,Male,yes,yes,yes,2.0,yes,,no,no,no,133.0,7.0,4.0,yes,no,yes,yes,78,49,83.0,75.0,69.0,yes,4,2.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,Black/Black British African,Male,no,yes,no,1.0,yes,no,yes,no,no,121.0,5.0,6.0,no,no,no,,48,30,,,30.0,no,5,,4,0,1,66.66666666666667,no,yes
ba,no,yes,no,Asian,Female,yes,yes,no,1.0,yes,no,no,no,no,96.0,4.0,5.0,yes,yes,yes,yes,60,44,,,44.0,yes,3,3.0,0,4,1,100.0,yes,yes
ba,no,yes,no,Asian,Male,yes,yes,yes,5.0,yes,,no,no,yes,80.0,5.0,5.0,yes,no,no,,96,74,80.0,47.0,67.0,yes,5,1.0,0,4,0,100.0,no,no
ba,no,no,no,Asian,Male,no,yes,,3.0,no,no,yes,no,no,,5.0,5.0,yes,no,yes,,46,48,35.0,,41.5,no,2,4.0,2,0,1,33.333333333333336,no,yes
ba,no,no,no,Asian,Female,no,yes,yes,,yes,no,yes,no,no,125.0,3.0,4.0,yes,no,no,,92,77,62.0,52.0,63.666666666666664,yes,3,3.0,0,2,0,100.0,no,no
ba,no,no,no,Asian,Female,yes,yes,yes,3.0,yes,yes,no,no,no,104.0,6.0,7.0,yes,no,yes,yes,54,46,44.0,,45.0,yes,6,0.0,0,0,0,100.0,no,yes
ba,no,yes,no,Asian,Male,yes,yes,yes,3.0,no,,no,no,yes,128.0,4.0,4.0,no,yes,yes,,43,43,36.0,,39.5,no,4,2.0,2,1,0,33.333333333333336,no,yes
ba,no,no,no,White,Male,yes,yes,,4.0,yes,no,no,no,yes,80.0,4.0,4.0,yes,no,yes,no,57,59,38.0,,48.5,no,2,4.0,5,4,0,83.33333333333333,yes,yes
ba,no,yes,no,Asian,Male,yes,yes,no,4.0,yes,no,no,no,no,102.0,3.0,4.0,yes,yes,yes,no,47,36,,,36.0,no,2,2.0,3,0,1,50.0,no,yes
ba,no,yes,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,123.0,3.0,4.0,no,yes,no,no,85,75,57.0,44.0,58.666666666666664,yes,3,3.0,0,0,2,100.0,yes,no
ba,no,yes,no,Black/Black British African,Male,no,yes,no,3.0,no,no,yes,no,no,120.0,,,yes,no,yes,no,53,44,41.0,,42.5,yes,2,4.0,0,0,0,100.0,no,yes
ba,no,no,no,Other Black Background,Female,yes,yes,yes,5.0,no,no,no,no,yes,144.0,4.0,4.0,no,yes,no,no,56,44,35.0,,39.5,no,1,1.0,3,4,2,50.0,yes,yes
BA,yes,no,no,White,Male,no,no,no,4.0,yes,no,no,no,yes,160.0,4.0,5.0,no,yes,no,no,66,47,70.0,76.0,64.33333333333333,yes,4,2.0,0,0,1,100.0,no,no
BA,yes,no,no,White,Male,no,no,no,4.0,yes,,no,no,yes,122.0,3.0,2.0,no,yes,no,no,96,78,76.0,45.0,66.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
BA,yes,no,no,Asian,Male,no,no,no,3.0,no,no,yes,no,no,,8.0,7.0,yes,no,no,no,92,59,53.0,73.0,61.666666666666664,yes,5,1.0,0,0,1,100.0,no,no
BA,yes,yes,no,Asian,Male,no,no,no,5.0,yes,no,yes,no,no,152.0,,,yes,no,no,no,93,41,55.0,54.0,50.0,yes,5,1.0,0,1,0,100.0,no,no
BA,yes,no,no,Black/Black British African,Male,no,yes,no,1.0,yes,no,no,no,no,168.0,8.0,7.0,yes,no,yes,yes,58,40,43.0,,41.5,yes,3,3.0,0,2,1,100.0,no,yes
BA,yes,no,no,Black/Black British African,Male,no,yes,no,2.0,no,no,no,yes,no,108.0,3.0,2.0,yes,no,no,yes,57,47,55.0,79.0,60.333333333333336,yes,5,1.0,0,0,1,100.0,no,no
BA,yes,no,no,Asian,Male,yes,no,yes,4.0,yes,no,no,no,yes,120.0,5.0,4.0,yes,no,yes,no,92,63,65.0,51.0,59.666666666666664,yes,4,2.0,0,1,0,100.0,no,no
BA,yes,yes,no,White,Male,no,yes,no,3.0,no,,yes,no,no,128.0,,,yes,no,yes,no,81,54,57.0,85.0,65.33333333333333,yes,5,1.0,0,1,0,100.0,no,no
BA,yes,yes,no,Black/Black British African,Female,yes,yes,no,4.0,yes,no,no,no,yes,101.0,5.0,5.0,no,yes,no,no,64,40,46.0,45.0,43.666666666666664,yes,5,1.0,0,1,0,100.0,no,no
BA,yes,yes,yes,White,Male,no,yes,no,,no,no,yes,no,no,,,,yes,no,yes,yes,77,47,52.0,75.0,58.0,yes,5,1.0,0,2,1,100.0,no,no
BA,yes,no,no,Black/Black British African,Male,yes,yes,yes,4.0,yes,no,no,no,yes,96.0,5.0,5.0,yes,no,no,no,73,67,43.0,66.0,58.666666666666664,yes,4,2.0,0,0,0,100.0,no,no
BA,yes,yes,no,Black/Black British African,Female,no,no,no,3.0,yes,no,no,no,no,96.0,4.0,3.0,yes,no,yes,no,52,42,37.0,,39.5,no,3,2.0,2,2,1,33.333333333333336,no,yes
BA,yes,no,no,Asian,Female,yes,no,yes,5.0,yes,no,no,no,yes,122.0,3.0,,no,no,yes,no,88,80,42.0,65.0,62.333333333333336,yes,3,3.0,0,3,0,100.0,no,no
BA,yes,yes,no,Asian,Male,no,no,yes,1.0,yes,no,no,no,no,106.0,6.0,5.0,yes,no,no,no,52,44,34.0,,39.0,no,4,1.0,3,0,3,50.0,no,yes
BA,yes,no,no,Black/Black British African,Female,no,yes,yes,4.0,yes,no,no,no,no,112.0,5.0,4.0,yes,no,no,no,47,36,,,36.0,no,3,2.0,4,0,2,66.66666666666667,no,yes
BA,yes,no,no,Black/Black British African,Female,no,yes,yes,,yes,no,no,no,no,104.0,6.0,4.0,yes,no,no,no,69,47,46.0,82.0,58.333333333333336,yes,3,3.0,0,2,2,100.0,no,no
BA,yes,no,no,Asian,Female,yes,no,no,3.0,yes,,no,no,yes,128.0,6.0,6.0,no,yes,yes,no,62,64,75.0,79.0,72.66666666666667,yes,4,2.0,0,1,0,100.0,no,no
BA,yes,no,no,Asian,Male,no,no,no,2.0,no,no,no,yes,yes,93.0,5.0,5.0,yes,no,yes,yes,92,46,72.0,85.0,67.66666666666667,yes,6,0.0,0,0,1,100.0,no,no
BA,yes,yes,no,White,Male,no,no,no,3.0,yes,no,no,no,no,96.0,6.0,5.0,no,yes,yes,no,87,51,71.0,66.0,62.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
BA,yes,no,no,White,Female,yes,yes,yes,3.0,no,no,no,no,yes,88.0,,5.0,no,yes,no,no,71,54,78.0,82.0,71.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
BA,yes,no,no,Asian,Male,no,no,yes,,no,no,yes,no,no,,,,yes,,no,no,69,50,79.0,49.0,59.333333333333336,yes,3,3.0,0,1,2,100.0,no,no
BA,yes,yes,no,White,Male,yes,yes,no,3.0,yes,no,no,no,yes,84.0,4.0,3.0,no,yes,yes,no,92,52,64.0,75.0,63.666666666666664,yes,5,1.0,0,0,0,100.0,no,no
BA,yes,no,no,,Male,yes,yes,no,3.0,yes,,no,no,yes,84.0,5.0,4.0,no,yes,yes,no,82,84,81.0,65.0,76.66666666666667,yes,3,3.0,0,2,0,100.0,no,no
BA,yes,yes,no,,Female,yes,no,yes,4.0,yes,no,no,no,yes,82.0,4.0,3.0,yes,,no,no,73,40,61.0,61.0,54.0,yes,4,2.0,0,1,1,100.0,no,no
BA,yes,yes,no,,Male,yes,yes,no,4.0,yes,no,no,no,yes,144.0,4.0,4.0,no,yes,no,no,75,45,51.0,36.0,44.0,no,4,2.0,2,0,0,33.333333333333336,no,no
BA,yes,no,no,Other ethnic background,Female,no,no,no,1.0,yes,no,no,no,no,72.0,5.0,5.0,yes,,yes,yes,42,43,40.0,,41.5,yes,4,2.0,0,0,1,100.0,no,yes
BA,yes,no,no,Other ethnic background,Male,yes,yes,no,2.0,yes,no,no,no,yes,104.0,4.0,3.0,yes,yes,yes,yes,58,31,,,31.0,no,2,2.0,3,2,2,50.0,no,yes
BA,yes,no,no,,Male,yes,no,yes,5.0,yes,,no,no,yes,80.0,7.0,6.0,yes,no,no,no,70,57,48.0,74.0,59.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
BA,no,yes,no,White,Male,no,no,yes,5.0,yes,no,no,no,no,128.0,5.0,5.0,no,yes,yes,no,64,76,49.0,50.0,58.333333333333336,yes,3,3.0,0,2,2,100.0,no,no
BA,no,yes,no,Asian,Female,no,no,no,3.0,no,no,no,no,no,96.0,5.0,5.0,yes,,yes,no,59,55,33.0,,44.0,no,4,2.0,2,0,1,33.333333333333336,no,yes
BA,no,yes,no,Other ethnic background,Male,no,no,no,,no,no,yes,no,no,,,,yes,,no,no,90,65,50.0,68.0,61.0,yes,3,3.0,0,2,2,100.0,no,no
BA,no,yes,no,Other ethnic background,Female,yes,no,no,4.0,yes,no,no,no,yes,96.0,6.0,4.0,yes,,no,no,61,71,49.0,66.0,62.0,yes,5,1.0,0,2,1,100.0,no,no
BA,no,yes,no,White,Male,no,no,no,5.0,yes,no,no,no,yes,114.0,3.0,7.0,yes,yes,yes,no,46,51,33.0,,42.0,no,6,0.0,2,0,0,33.333333333333336,no,yes
BA,no,yes,no,White,Male,no,no,NO,5.0,yes,,no,no,yes,96.0,6.0,5.0,yes,no,no,no,47,41,39.0,,40.0,no,3,3.0,3,1,1,50.0,no,yes
BA,no,yes,no,Asian,Male,yes,no,yes,3.0,yes,,no,no,yes,146.0,4.0,4.0,no,yes,no,no,45,40,32.0,0.0,36.0,no,4,1.0,2,1,1,33.333333333333336,no,yes
BA,no,no,no,Asian,Male,yes,no,no,3.0,yes,,no,no,yes,129.0,4.0,6.0,no,yes,no,,52,46,64.0,72.0,60.666666666666664,yes,5,1.0,0,1,1,100.0,no,no
BA,no,yes,no,Asian,Male,yes,no,yes,1.0,yes,no,no,no,yes,120.0,7.0,7.0,no,yes,no,yes,53,44,34.0,,39.0,no,1,0.0,4,4,3,66.66666666666667,yes,yes
BA,no,no,no,Asian,Male,no,no,no,2.0,no,no,no,no,no,88.0,5.0,5.0,yes,no,yes,yes,59,45,38.0,,41.5,no,1,5.0,5,4,2,83.33333333333333,yes,yes
BA,no,yes,no,Asian,Male,no,no,yes,2.0,no,no,no,no,no,80.0,,,yes,no,yes,yes,96,79,83.0,48.0,70.0,yes,3,3.0,0,2,1,100.0,yes,no
BA,no,no,no,Asian,Male,yes,no,no,4.0,yes,no,no,no,yes,128.0,4.0,4.0,no,yes,yes,,81,85,63.0,39.0,62.333333333333336,no,5,1.0,2,1,0,33.333333333333336,yes,no
BA,no,yes,no,Asian,Male,no,no,no,4.0,yes,yes,no,yes,yes,80.0,4.0,4.0,no,yes,yes,yes,48,46,33.0,,39.5,no,3,2.0,3,2,0,50.0,no,yes
BA,no,yes,no,Asian,Female,yes,no,no,4.0,yes,no,,no,yes,120.0,5.0,4.0,no,yes,no,,72,63,55.0,83.0,67.0,yes,3,3.0,0,0,0,100.0,no,no
BA,no,yes,no,Black/Black British African,Male,yes,no,yes,4.0,yes,no,,no,yes,88.0,4.0,4.0,no,yes,yes,,72,83,87.0,65.0,77.33333333333333,yes,3,3.0,0,1,0,100.0,no,no
BA,no,yes,no,Mixed White and Asian,Female,no,no,no,,yes,no,,no,no,87.0,,,yes,no,yes,,80,76,63.0,38.0,59.0,no,5,1.0,2,4,2,33.333333333333336,yes,no
BA,no,yes,no,Asian,Male,yes,no,yes,3.0,yes,no,,no,yes,114.0,7.0,5.0,yes,no,yes,,48,48,41.0,,44.5,yes,3,3.0,0,1,0,100.0,no,yes
BA,no,yes,no,White,Male,no,no,yes,5.0,yes,no,,no,yes,99.0,,,yes,no,yes,,40,44,36.0,,40.0,no,3,3.0,5,2,2,83.33333333333333,no,yes
BA,no,no,no,Black/Black British African,Male,yes,no,yes,4.0,yes,,,no,yes,112.0,3.0,5.0,yes,yes,yes,,84,82,65.0,69.0,72.0,yes,3,3.0,0,3,3,100.0,no,no
BA,no,yes,no,Asian,Male,yes,no,yes,5.0,yes,no,,no,yes,128.0,3.0,5.0,yes,no,yes,,78,64,82.0,40.0,62.0,yes,4,2.0,0,0,1,100.0,yes,no
BA,no,no,no,White,Female,no,no,yes,2.0,yes,,,no,no,112.0,4.0,6.0,yes,no,yes,yes,45,43,38.0,,40.5,no,2,4.0,4,4,0,66.66666666666667,yes,yes
BA,no,yes,no,White,Male,no,no,no,3.0,yes,no,,no,yes,128.0,4.0,4.0,yes,no,no,,51,49,33.0,,41.0,no,1,5.0,2,2,0,33.333333333333336,no,yes
BA,yes,no,no,White,Male,yes,no,no,5.0,yes,,,no,yes,84.0,4.0,4.0,yes,yes,no,,60,77,52.0,41.0,56.666666666666664,yes,5,1.0,0,0,0,100.0,no,no
BA,yes,no,no,Black/Black British African,Male,yes,yes,no,4.0,yes,no,no,no,yes,115.0,4.0,4.0,yes,no,no,no,92,48,48.0,71.0,55.666666666666664,yes,6,0.0,0,1,1,100.0,no,no
BA,yes,no,no,Asian,Male,yes,no,no,1.0,yes,no,no,no,yes,148.0,4.0,6.0,yes,yes,no,yes,64,44,71.0,83.0,66.0,yes,3,3.0,0,2,0,100.0,no,no
